step_slug,language,title,description
mending-circle-s03,de-CH,Gemeinsames Flickset zusammenstellen,"Nadeln, Garne, Wolle, Flicken und ein bis zwei Nähmaschinen sammeln."
mending-circle-s04,fr-CH,Promouvoir les premières sessions,Mettre en avant l'aspect social et créatif; demander d'apporter un vêtement abîmé.
mending-circle-s04,de-CH,Erste Treffen bewerben,"Den sozialen, kreativen Aspekt betonen; alle bitten, ein beschädigtes Kleidungsstück mitzubringen."
mending-circle-s05,fr-CH,Animer le premier cercle,"Faire les présentations, démontrer une technique de base et aider chacun·e à terminer une réparation."
mending-circle-s05,de-CH,Ersten Treff durchführen,"Vorstellungsrunde machen, eine Grundtechnik zeigen und alle bei einer fertigen Reparatur begleiten."
mending-circle-s06,fr-CH,Installer le rythme récurrent,"Fixer un rendez-vous mensuel, faire tourner l'accueil et créer un groupe de discussion pour les habitué·e·s."
mending-circle-s06,de-CH,Regelmässigen Rhythmus etablieren,"Einen monatlichen Termin fixieren, das Gastgeben rotieren lassen und eine Chatgruppe für Stammgäste einrichten."
community-garden-s01,fr-CH,Sonder l'intérêt et former un noyau,"Réunir 5 à 10 voisin·e·s engagé·e·s et s'accorder sur la vocation du jardin (alimentation, communauté, éducation)."
community-garden-s01,de-CH,Interesse abklären und Kerngruppe bilden,"5–10 engagierte Nachbarinnen und Nachbarn gewinnen und den Zweck des Gartens klären (Ernährung, Gemeinschaft, Bildung)."
community-garden-s02,fr-CH,Trouver et évaluer un terrain,"Identifier des parcelles candidates; vérifier ensoleillement, accès à l'eau, historique de pollution du sol et propriété."
community-garden-s02,de-CH,Land finden und prüfen,"Mögliche Parzellen identifizieren; Besonnung, Wasserzugang, Altlasten und Eigentumsverhältnisse abklären."
community-garden-s03,fr-CH,Négocier une convention d'utilisation,Conclure un accord écrit pluriannuel avec la commune ou le propriétaire.
community-garden-s03,de-CH,Nutzungsvereinbarung aushandeln,"Eine schriftliche, mehrjährige Nutzungsvereinbarung mit Gemeinde oder Eigentümer abschliessen."
community-garden-s04,fr-CH,Concevoir l'aménagement,"Planifier bacs, chemins, zone de compost, points d'eau et espace commun; choisir entre parcelles individuelles et culture collective."
community-garden-s04,de-CH,Gartenlayout gestalten,"Beete, Wege, Kompostplatz, Wasserstellen und Gemeinschaftsbereich planen; zwischen Parzellen- und Gemeinschaftsmodell entscheiden."
community-garden-s05,fr-CH,Budgéter et financer l'installation,"Chiffrer terre, bois, outils et raccordement à l'eau; financer via petites subventions ou financement participatif."
community-garden-s05,de-CH,Budgetieren und Aufbau finanzieren,"Erde, Holz, Werkzeug und Wasseranschluss kalkulieren; über Kleinförderungen oder Crowdfunding finanzieren."
community-garden-s06,fr-CH,Organiser les journées de construction,"Mener 2 à 3 journées bénévoles pour construire bacs, chemins et composteurs."
community-garden-s06,de-CH,Bautage organisieren,"An 2–3 Freiwilligentagen Beete, Wege und Kompostbehälter bauen."
community-garden-s07,fr-CH,Fixer la gouvernance et les règles,"Convenir de l'adhésion, des cotisations, de l'attribution des parcelles, des tâches communes et de la gestion des conflits."
community-garden-s07,de-CH,Organisation und Regeln festlegen,"Mitgliedschaft, Beiträge, Beetvergabe, Gemeinschaftsaufgaben und Konfliktlösung vereinbaren."
community-garden-s08,fr-CH,Planter la première saison,Coordonner un plan de culture et les premiers semis avec tous les membres.
community-garden-s08,de-CH,Erste Saison bepflanzen,Einen Anbauplan und die erste Aussaat mit allen Mitgliedern koordinieren.
community-garden-s09,fr-CH,Installer le rythme de fonctionnement,"Mettre en place tournus d'arrosage, journées de travail mensuelles et canal de communication."
community-garden-s09,de-CH,Laufenden Betrieb etablieren,"Giessplan, monatliche Arbeitstage und einen Kommunikationskanal einrichten."
community-compost-s01,fr-CH,Évaluer la demande et les sites possibles,"Sonder les voisin·e·s et trouver un site drainé, à distance raisonnable des habitations."
community-compost-s01,de-CH,Bedarf und Standorte prüfen,Nachbarschaft zum Interesse befragen und einen Standort mit Entwässerung und vernünftigem Abstand zu Wohnungen finden.
community-compost-s02,fr-CH,Obtenir l'accord communal,"Clarifier les règles locales sur les sites de compostage, les odeurs et les nuisibles, et obtenir une autorisation écrite."
community-compost-s02,de-CH,Gemeindebewilligung einholen,"Lokale Vorschriften zu Kompostplätzen, Geruchs- und Schädlingskontrolle klären und eine schriftliche Erlaubnis einholen."
community-compost-s03,fr-CH,Concevoir le système de compostage,"Choisir le système (3 bacs, composteurs rotatifs, bokashi) dimensionné au volume attendu et planifier le flux des matières."
community-compost-s03,de-CH,Kompostsystem konzipieren,"Das System (3-Kammer, Trommeln, Bokashi) auf das erwartete Volumen auslegen und den Materialfluss planen."
community-compost-s04,fr-CH,Construire le site,"Construire bacs, signalétique et abri pour matières sèches sur une à deux journées."
community-compost-s04,de-CH,Kompostplatz bauen,"Behälter, Beschriftung und einen gedeckten Lagerplatz für Strukturmaterial an 1–2 Bautagen erstellen."
community-compost-s05,fr-CH,Former les référent·e·s compost,"Former 3 à 5 bénévoles au brassage, aux couches, au contrôle de température et au dépannage."
community-compost-s05,de-CH,Kompost-Verantwortliche schulen,"3–5 Freiwillige in Schichtung, Umsetzen, Temperaturkontrolle und Problembehebung ausbilden."
community-compost-s06,fr-CH,Intégrer les ménages,"Enregistrer les ménages participants, distribuer les seaux et un guide clair de ce qui est accepté."
community-compost-s06,de-CH,Haushalte anschliessen,"Teilnehmende Haushalte registrieren, Behälter verteilen und eine klare Anleitung, was hinein darf, abgeben."
community-compost-s07,fr-CH,Faire tourner et surveiller les premiers cycles,"Assurer un tournus de référent·e·s, surveiller la qualité et corriger vite les problèmes pour garder la confiance du voisinage."
community-compost-s07,de-CH,Erste Zyklen betreiben und überwachen,"Einen Betreuungsplan führen, die Qualität überwachen und Probleme rasch beheben, um das Vertrauen der Nachbarschaft zu erhalten."
community-compost-s08,fr-CH,Distribuer le compost mûr,Organiser une journée de distribution pour les membres et le jardin communautaire local.
community-compost-s08,de-CH,Fertigen Kompost verteilen,Einen Kompost-Abgabetag für Mitglieder und den lokalen Gemeinschaftsgarten durchführen.
tool-library-s01,fr-CH,Valider la demande et le modèle,Sonder le quartier sur les objets souhaités et la disposition à payer une petite cotisation.
tool-library-s01,de-CH,Bedarf und Modell prüfen,Das Quartier zu gewünschten Gegenständen und zur Zahlungsbereitschaft für einen kleinen Mitgliederbeitrag befragen.
tool-library-s02,fr-CH,Trouver un local pour la collection,"Obtenir un petit espace de stockage avec heures d'ouverture publiques — coin de magasin, cave ou conteneur."
tool-library-s02,de-CH,Standort für die Sammlung finden,"Einen kleinen Lagerraum mit öffentlichen Öffnungszeiten sichern — Ladenecke, Keller oder Container."
tool-library-s03,fr-CH,Régler structure juridique et assurance,"Créer une association simple, des conditions de responsabilité pour les emprunteurs et une assurance pour l'inventaire."
tool-library-s03,de-CH,Rechtsform und Versicherung klären,"Einen einfachen Verein gründen, Haftungsbedingungen für Ausleihende festlegen und das Inventar versichern."
tool-library-s04,fr-CH,Collecter et cataloguer l'inventaire,"Organiser une collecte d'outils de qualité; tester, étiqueter et cataloguer chaque objet."
tool-library-s04,de-CH,Inventar sammeln und katalogisieren,"Eine Spendenaktion für gutes Werkzeug durchführen; jedes Teil testen, etikettieren und erfassen."
tool-library-s05,fr-CH,Mettre en place un système de réservation,Déployer un logiciel de prêt léger (plusieurs options open source existent) avec comptes membres et échéances.
tool-library-s05,de-CH,Buchungssystem einrichten,Eine schlanke Ausleihsoftware (mehrere Open-Source-Optionen) mit Mitgliederkonten und Rückgabefristen aufsetzen.
tool-library-s06,fr-CH,Recruter et former les bibliothécaires bénévoles,Constituer un tournus de bénévoles pour tenir les heures d'ouverture et gérer les prêts et retours.
tool-library-s06,de-CH,Freiwillige Bibliotheksleute gewinnen und schulen,Einen Einsatzplan von Freiwilligen für Öffnungszeiten sowie Aus- und Rückgabe aufbauen.
tool-library-s07,fr-CH,Lancer avec une journée portes ouvertes,"Organiser un événement de lancement avec démonstrations, inscriptions et collecte d'outils supplémentaires."
tool-library-s07,de-CH,Mit Tag der offenen Tür starten,"Einen Eröffnungsanlass mit Vorführungen, Anmeldungen und einer Werkzeug-Sammelaktion durchführen."
tool-library-s08,fr-CH,Établir les routines d'entretien,Prévoir des journées de réparation pour les objets abîmés et des inventaires périodiques.
tool-library-s08,de-CH,Unterhaltsroutinen etablieren,Reparaturtage für beschädigte Gegenstände und periodische Inventuren einführen.
community-fridge-s01,fr-CH,Trouver un lieu d'accueil,"Obtenir un emplacement abrité et accessible avec électricité — devant un magasin, un centre de quartier ou une église."
community-fridge-s01,de-CH,Gastgeber-Standort finden,"Einen geschützten, zugänglichen Platz mit Strom sichern — vor einem Laden, Quartierzentrum oder einer Kirche."
community-fridge-s02,fr-CH,Clarifier les règles d'hygiène alimentaire,"Définir ce qui peut être partagé (pas de viande/poisson crus, règles de dates) selon les lignes directrices établies des frigos partagés."
community-fridge-s02,de-CH,Lebensmittelhygiene-Regeln klären,"Festlegen, was geteilt werden darf (kein rohes Fleisch/Fisch, Datumsregeln) gemäss etablierten Richtlinien für offene Kühlschränke."
community-fridge-s03,fr-CH,Se procurer frigo et abri,Obtenir un frigo fiable donné ou bon marché et construire un abri simple s'il est en extérieur.
community-fridge-s03,de-CH,Kühlschrank und Schutz beschaffen,Einen gespendeten oder günstigen zuverlässigen Kühlschrank besorgen und bei Aussenstandort ein einfaches wetterfestes Gehäuse bauen.
community-fridge-s04,fr-CH,Recruter des parrains/marraines du frigo,"Constituer un tournus de bénévoles pour contrôles quotidiens, nettoyage et relevés de température."
community-fridge-s04,de-CH,Kühlschrank-Verantwortliche gewinnen,"Einen Einsatzplan Freiwilliger für tägliche Kontrollen, Reinigung und Temperaturprotokoll aufbauen."
community-fridge-s05,fr-CH,Intégrer les donateurs alimentaires,"Enrôler boulangeries, magasins et ménages voisins comme contributeurs réguliers."
community-fridge-s05,de-CH,Lebensmittelspender anschliessen,"Bäckereien, Läden und Haushalte in der Nähe als regelmässige Beitragende gewinnen."
community-fridge-s06,fr-CH,Lancer et faire connaître,"Ouvrir avec une signalétique claire sur les règles, et communiquer pour que donneurs et preneurs se sentent bienvenus."
community-fridge-s06,de-CH,Eröffnen und bekannt machen,"Mit klarer Beschilderung zu den Regeln starten und so kommunizieren, dass sich Gebende wie Nehmende willkommen fühlen."
community-fridge-s07,fr-CH,Surveiller et adapter,"Suivre l'utilisation et l'hygiène, corriger vite les problèmes et publier des chiffres d'impact mensuels."
community-fridge-s07,de-CH,Beobachten und anpassen,"Nutzung und Hygiene verfolgen, Probleme rasch beheben und monatlich Wirkungszahlen teilen."
food-rescue-s01,fr-CH,Cartographier donateurs et bénéficiaires,"Lister donateurs potentiels (boulangeries, supermarchés, traiteurs) et bénéficiaires (foyers, frigos, banques alimentaires)."
food-rescue-s01,de-CH,Spender und Empfänger erfassen,"Mögliche Lebensmittelspender (Bäckereien, Supermärkte, Caterer) und Empfänger (Notunterkünfte, Kühlschränke, Abgabestellen) auflisten."
food-rescue-s02,fr-CH,Convenir des conditions de don,"Signer avec chaque donateur des accords simples couvrant horaires de collecte, types d'aliments et responsabilité."
food-rescue-s02,de-CH,Spendenkonditionen vereinbaren,"Mit jedem Spender einfache Vereinbarungen zu Abholzeiten, Lebensmittelarten und Haftung abschliessen."
food-rescue-s03,fr-CH,Concevoir une routine de transport sûre,"Planifier itinéraires, glacières et règles d'hygiène pour que les aliments restent sûrs en transit."
food-rescue-s03,de-CH,Sichere Transportroutine gestalten,"Routen, Kühlboxen und Hygieneregeln planen, damit die Lebensmittel unterwegs sicher bleiben."
food-rescue-s04,fr-CH,Recruter cyclistes et chauffeur·euse·s,Constituer un pool de bénévoles à vélo ou en voiture prenant chacun·e un court créneau hebdomadaire.
food-rescue-s04,de-CH,Rettungsfahrende gewinnen,"Einen Pool Freiwilliger mit Velo oder Auto aufbauen, die je einen kurzen Wochenslot übernehmen."
food-rescue-s05,fr-CH,Mettre en place la planification des tournées,Utiliser un outil de planification simple pour que chaque créneau soit couvert de manière fiable.
food-rescue-s05,de-CH,Schichtplanung einrichten,"Ein einfaches Planungstool nutzen, damit jeder Abholtermin zuverlässig abgedeckt oder eskaliert wird."
food-rescue-s06,fr-CH,Mener un mois pilote,"Faire tourner 2 à 3 itinéraires pendant un mois, consigner les poids et régler les problèmes d'horaires."
food-rescue-s06,de-CH,Pilotmonat durchführen,"2–3 Routen einen Monat lang betreiben, Gewichte erfassen und Zeitprobleme ausbügeln."
food-rescue-s07,fr-CH,Étendre et rendre compte,"Ajouter donateurs et itinéraires, et publier les kilos sauvés chaque mois pour garder les partenaires mobilisés."
food-rescue-s07,de-CH,Skalieren und berichten,"Spender und Routen ergänzen und monatlich die geretteten Kilogramm publizieren, um die Partner zu binden."
repair-skills-course-s01,fr-CH,Concevoir le programme,Définir 4 à 6 sessions avec des objectifs de compétences clairs et le matériel nécessaire par session.
repair-skills-course-s01,de-CH,Lehrplan gestalten,4–6 Sessionen mit klaren Lernzielen und benötigtem Material pro Session definieren.
repair-skills-course-s02,fr-CH,Recruter les formateur·trice·s,Trouver des réparateur·trice·s capables d'enseigner chaque module; convenir des dates et d'éventuelles indemnités.
repair-skills-course-s02,de-CH,Kursleitende gewinnen,"Versierte Reparaturprofis finden, die je ein Modul unterrichten; Termine und allfällige Spesen vereinbaren."
repair-skills-course-s03,fr-CH,Réserver l'atelier,"Obtenir un espace avec établis, électricité et rangement d'outils pour toute la série."
repair-skills-course-s03,de-CH,Werkstatt buchen,"Einen Raum mit Werkbänken, Strom und Werkzeuglager für die ganze Reihe sichern."
repair-skills-course-s04,fr-CH,Se procurer du matériel d'exercice,Collecter appareils et vêtements cassés donnés pour que les participant·e·s s'exercent.
repair-skills-course-s04,de-CH,Übungsmaterial beschaffen,"Defekte Spendegeräte und -kleider sammeln, an denen die Teilnehmenden üben können."
repair-skills-course-s05,fr-CH,Recruter les participant·e·s,Ouvrir les inscriptions avec une petite finance d'engagement pour limiter les absences.
repair-skills-course-s05,de-CH,Teilnehmende gewinnen,"Die Anmeldung mit einem kleinen Unkostenbeitrag öffnen, um Absenzen zu reduzieren."
repair-skills-course-s06,fr-CH,Donner les sessions,"Animer chaque session avec démonstrations, pratique guidée et supervision de sécurité."
repair-skills-course-s06,de-CH,Sessionen durchführen,"Jede Session mit Vorführungen, angeleiteter Praxis und Sicherheitsaufsicht durchführen."
repair-skills-course-s07,fr-CH,Intégrer les diplômé·e·s aux Repair Cafés,Mettre les personnes formées en lien avec les Repair Cafés locaux comme bénévoles.
repair-skills-course-s07,de-CH,Absolvierende in Repair Cafés vermitteln,Die Ausgebildeten als Freiwillige mit lokalen Repair Cafés verbinden.
school-garden-s01,fr-CH,Obtenir l'adhésion de l'école,Présenter le programme à la direction et à 1 ou 2 enseignant·e·s moteurs; convenir des objectifs et responsabilités.
school-garden-s01,de-CH,Schule gewinnen,Das Programm der Schulleitung und 1–2 engagierten Lehrpersonen vorstellen; Ziele und Verantwortlichkeiten vereinbaren.
school-garden-s02,fr-CH,Concevoir un jardin adapté aux âges,"Planifier bacs surélevés, outils sûrs et cultures qui produisent pendant les périodes scolaires."
school-garden-s02,de-CH,Altersgerechten Garten gestalten,"Hochbeete, sichere Werkzeuge und Kulturen planen, die innerhalb der Schulzeit Ertrag bringen."
school-garden-s03,fr-CH,Financer la construction,"Réunir un petit budget via l'association de parents, des sponsors locaux ou une mini-subvention."
school-garden-s03,de-CH,Bau finanzieren,"Ein kleines Budget über den Elternverein, lokale Sponsoren oder eine Kleinförderung beschaffen."
school-garden-s04,fr-CH,Construire avec la communauté scolaire,Organiser une journée de construction en famille pour monter les bacs et les remplir de terre.
school-garden-s04,de-CH,Mit der Schulgemeinschaft bauen,"Einen Familien-Bautag durchführen, um Beete zu bauen und mit Erde zu füllen."
school-garden-s05,fr-CH,Créer des liens simples avec les cours,Préparer des fiches d'activités saisonnières reliant les tâches du jardin au plan d'études.
school-garden-s05,de-CH,Einfache Unterrichtsbezüge schaffen,"Saisonale Aktivitätenblätter vorbereiten, die Gartenarbeiten mit dem Lehrplan verknüpfen."
school-garden-s06,fr-CH,Accompagner la première année de culture,"Accompagner les enseignant·e·s dans les semis, l'entretien et la récolte sur l'année scolaire."
school-garden-s06,de-CH,Erstes Gartenjahr begleiten,"Lehrpersonen durch Aussaat, Pflege und Ernte über das Schuljahr begleiten."
school-garden-s07,fr-CH,Planifier les vacances et la transmission,Mettre en place un tournus d'arrosage pendant les vacances et transférer progressivement la responsabilité à l'école.
school-garden-s07,de-CH,Ferienbetreuung und Übergabe planen,Einen Ferien-Giessplan aufstellen und die Verantwortung schrittweise an die Schule übergeben.
tree-planting-s01,fr-CH,Identifier les sites de plantation,"Parcourir le quartier pour repérer des emplacements viables en tenant compte des conduites, de la visibilité et de l'espace pour les arbres adultes."
tree-planting-s01,de-CH,Pflanzstandorte identifizieren,"Das Quartier nach geeigneten Standorten absuchen und dabei Leitungen, Sichtachsen und Platz für ausgewachsene Bäume berücksichtigen."
tree-planting-s02,fr-CH,Obtenir l'accord communal et des conseils d'espèces,Travailler avec le service des espaces verts sur les autorisations et des espèces indigènes adaptées au climat.
tree-planting-s02,de-CH,Gemeindebewilligung und Artenberatung einholen,Mit der Grünabteilung Bewilligungen und klimaangepasste einheimische Arten klären.
tree-planting-s03,fr-CH,Financer les arbres,"Chiffrer plants, tuteurs et terre; financer par parrainage (p. ex. adopter un arbre) ou subventions."
tree-planting-s03,de-CH,Bäume finanzieren,"Jungbäume, Pfähle und Substrat kalkulieren; über Patenschaften (z. B. Baum adoptieren) oder Beiträge finanzieren."
tree-planting-s04,fr-CH,Recruter des parrains/marraines d'arbres,Engager des riverain·e·s à arroser et surveiller des arbres précis pendant les deux premiers étés.
tree-planting-s04,de-CH,Baumpatenschaften in der Nachbarschaft gewinnen,"Anwohnende verpflichten, bestimmte Bäume in den ersten zwei Sommern zu giessen und zu beobachten."
tree-planting-s05,fr-CH,Organiser la journée de plantation,"Coordonner livraison, outils, préparation des fosses et démonstration de plantation correcte."
tree-planting-s05,de-CH,Pflanztag organisieren,"Lieferung, Werkzeug, Pflanzgruben-Vorbereitung und eine Demonstration korrekten Pflanzens koordinieren."
tree-planting-s06,fr-CH,Planter et célébrer,"Planter avec les riverain·e·s, pailler et tuteurer correctement, et marquer la journée avec le quartier."
tree-planting-s06,de-CH,Pflanzen und feiern,"Mit den Anwohnenden pflanzen, fachgerecht mulchen und anbinden und den Tag mit dem Quartier feiern."
tree-planting-s07,fr-CH,Assurer le suivi,Coordonner rappels d'arrosage et contrôles pendant la période critique d'enracinement.
tree-planting-s07,de-CH,Nachsorgeprogramm betreiben,Giess-Erinnerungen und Kontrollen durch die kritische Anwuchsphase koordinieren.
bulk-buying-group-s01,fr-CH,Constituer le groupe fondateur,Réunir 8 à 15 ménages et convenir des produits prioritaires et de la fréquence des commandes.
bulk-buying-group-s01,de-CH,Gründungsgruppe bilden,8–15 Haushalte zusammenbringen und Produktprioritäten sowie Bestellrhythmus vereinbaren.
bulk-buying-group-s02,fr-CH,Sélectionner les fournisseurs,"Rechercher grossistes et producteurs proposant des denrées en vrac, peu emballées, à bon prix."
bulk-buying-group-s02,de-CH,Lieferanten auswählen,"Grosshändler und Produzenten recherchieren, die verpackungsarme Grossgebinde zu guten Preisen anbieten."
bulk-buying-group-s03,fr-CH,Organiser commandes et paiements,Créer une feuille de commande partagée et un processus de règlement transparent.
bulk-buying-group-s03,de-CH,Bestellung und Zahlung organisieren,Eine gemeinsame Bestellliste und einen transparenten Zahlungs- und Abrechnungsprozess einrichten.
bulk-buying-group-s04,fr-CH,Organiser le point de distribution,"Prévoir un garage ou une salle pour la livraison, la répartition et le retrait."
bulk-buying-group-s04,de-CH,Verteilpunkt organisieren,"Eine Garage oder einen Gemeinschaftsraum für Lieferung, Aufteilung und Abholung bereitstellen."
bulk-buying-group-s05,fr-CH,Mener le premier cycle de commande,"Collecter les commandes, passer la commande groupée, répartir les marchandises et régler les paiements."
bulk-buying-group-s05,de-CH,Ersten Bestellzyklus durchführen,"Bestellungen sammeln, die Sammelbestellung aufgeben, Ware in Mitgliederportionen teilen und Zahlungen abrechnen."
bulk-buying-group-s06,fr-CH,Affiner et formaliser,Évaluer prix et charge de travail après 2 à 3 cycles; définir les rôles et une petite marge pour les frais communs.
bulk-buying-group-s06,de-CH,Verfeinern und formalisieren,Nach 2–3 Zyklen Preise und Aufwand überprüfen; Rollen und eine kleine Marge für Gemeinkosten festlegen.
lift-sharing-s01,fr-CH,Définir la communauté et les trajets,"Choisir une communauté délimitée avec des trajets répétés (pendulaires, entraînements, trajets scolaires)."
lift-sharing-s01,de-CH,Gemeinschaft und Strecken definieren,"Eine abgegrenzte Gemeinschaft mit wiederkehrenden Fahrten wählen (Pendeln, Trainings, Schulwege)."
lift-sharing-s02,fr-CH,Choisir un mécanisme de mise en relation,"Sélectionner un outil simple — appli de covoiturage existante, groupe de discussion avec trajets épinglés ou tableur partagé."
lift-sharing-s02,de-CH,Vermittlungsmechanismus wählen,"Ein einfaches Tool wählen — bestehende Mitfahr-App, Chatgruppe mit fixierten Strecken oder geteilte Tabelle."
lift-sharing-s03,fr-CH,Fixer les règles de base,"Convenir du partage des frais, des attentes de fiabilité et des bases d'assurance pour les conducteur·trice·s."
lift-sharing-s03,de-CH,Grundregeln festlegen,"Kostenteilung, Verlässlichkeitserwartungen und Versicherungsgrundlagen für Fahrende vereinbaren."
lift-sharing-s04,fr-CH,Recruter une masse critique,Inscrire assez de conducteur·trice·s et passagers sur les trajets clés pour que des correspondances se produisent réellement.
lift-sharing-s04,de-CH,Kritische Masse gewinnen,"Genug Fahrende und Mitfahrende auf den Kernstrecken anmelden, damit tatsächlich Matches entstehen."
lift-sharing-s05,fr-CH,Lancer et amorcer les premières mises en relation,Organiser manuellement les premiers duos pour que les premiers usagers vivent une réussite.
lift-sharing-s05,de-CH,Starten und erste Matches stiften,"Die ersten Paarungen von Hand vermitteln, damit frühe Nutzende ein Erfolgserlebnis haben."
lift-sharing-s06,fr-CH,Suivre et valoriser les économies,Comptabiliser les trajets partagés et publier kilomètres et CO2 économisés pour entretenir la participation.
lift-sharing-s06,de-CH,Einsparungen verfolgen und feiern,"Geteilte Fahrten erfassen und gesparte Kilometer und CO2 publizieren, um die Beteiligung zu erhalten."
walking-school-bus-s01,fr-CH,S'associer à l'école,Obtenir le soutien de l'école et son aide pour contacter les familles intéressées.
walking-school-bus-s01,de-CH,Mit der Schule zusammenarbeiten,Die Unterstützung der Schule und Hilfe beim Kontaktieren interessierter Familien gewinnen.
walking-school-bus-s02,fr-CH,Concevoir des lignes et arrêts sûrs,"Tracer 1 à 3 itinéraires avec arrêts horaires, en évitant les traversées dangereuses."
walking-school-bus-s02,de-CH,Sichere Routen und Haltestellen planen,1–3 Fusswege mit getakteten Sammelpunkten kartieren und gefährliche Übergänge meiden.
walking-school-bus-s03,fr-CH,Recruter des parents accompagnants,Inscrire assez d'adultes bénévoles pour un tournus fiable avec remplaçant·e·s.
walking-school-bus-s03,de-CH,Begleitende Eltern gewinnen,Genug erwachsene Freiwillige für einen zuverlässigen Einsatzplan mit Ersatzpersonen anmelden.
walking-school-bus-s04,fr-CH,Fixer le protocole de sécurité,"Convenir des ratios adultes-enfants, de la procédure d'appel, de la gestion des absences et des règles en cas d'intempéries."
walking-school-bus-s04,de-CH,Sicherheitsprotokoll festlegen,"Betreuungsschlüssel, Anwesenheitskontrolle, Umgang mit Absenzen und Schlechtwetterregeln vereinbaren."
walking-school-bus-s05,fr-CH,Tester pendant deux semaines,"Faire tourner les lignes chaque jour, ajuster les horaires et corriger les points de friction."
walking-school-bus-s05,de-CH,Zwei Wochen Pilotbetrieb,"Die Routen täglich laufen lassen, Zeiten anpassen und Schwachstellen beheben."
walking-school-bus-s06,fr-CH,Formaliser le tournus,Passer à un horaire stable avec un·e coordinateur·trice par ligne et un système de remplacement.
walking-school-bus-s06,de-CH,Einsatzplan formalisieren,Zu einem stabilen Fahrplan mit einer Koordinationsperson pro Route und einem Stellvertretungssystem übergehen.
textile-upcycling-s01,fr-CH,Recruter des formateur·trice·s couture,Trouver 2 à 3 couturier·ère·s ou designers pour animer des sessions par projet.
textile-upcycling-s01,de-CH,Näh-Kursleitende gewinnen,"2–3 versierte Näh- oder Designprofis finden, die projektbasierte Sessionen leiten."
textile-upcycling-s02,fr-CH,Obtenir machines et local,Réserver un lieu et réunir 6 à 10 machines à coudre en état (prêtées ou données).
textile-upcycling-s02,de-CH,Maschinen und Raum sichern,Ein Lokal buchen und 6–10 funktionierende Nähmaschinen (geliehen oder gespendet) beschaffen.
textile-upcycling-s03,fr-CH,Collecter des textiles,Organiser une collecte de textiles et trier les tissus utilisables par type.
textile-upcycling-s03,de-CH,Spenden-Textilien sammeln,Eine Textil-Sammelaktion durchführen und brauchbare Stoffe nach Art sortieren.
textile-upcycling-s04,fr-CH,Concevoir des projets pour débutant·e·s,"Préparer 3 à 4 projets (sac en jeans, coussin patchwork) avec patrons et étapes."
textile-upcycling-s04,de-CH,Anfängerfreundliche Projekte entwerfen,"3–4 Projekte (Tasche aus Jeans, Patchwork-Kissen) mit Schnittmustern und Arbeitsschritten vorbereiten."
textile-upcycling-s05,fr-CH,Promouvoir et gérer les inscriptions,Faire connaître la série et gérer les inscriptions selon les machines disponibles.
textile-upcycling-s05,de-CH,Bewerben und Teilnehmende registrieren,Die Reihe vermarkten und die Anmeldungen auf die verfügbaren Maschinen abstimmen.
textile-upcycling-s06,fr-CH,Donner les ateliers,Enseigner les sessions avec un accompagnement par machine et des consignes de sécurité.
textile-upcycling-s06,de-CH,Workshops durchführen,Die Sessionen mit Betreuung pro Maschine und Sicherheitsanleitung unterrichten.
textile-upcycling-s07,fr-CH,Exposer les résultats,Organiser une petite exposition ou galerie en ligne des pièces réalisées pour recruter la prochaine volée.
textile-upcycling-s07,de-CH,Ergebnisse zeigen,"Eine kleine Ausstellung oder Online-Galerie der fertigen Stücke organisieren, um die nächste Gruppe zu gewinnen."
plant-based-cooking-club-s01,fr-CH,Trouver une cuisine,Réserver une cuisine communautaire ou tourner entre les domiciles des membres pour des sessions mensuelles.
plant-based-cooking-club-s01,de-CH,Küche finden,Eine Gemeinschaftsküche buchen oder für monatliche Treffen zwischen den Haushalten der Mitglieder rotieren.
plant-based-cooking-club-s02,fr-CH,Fixer le format,"Convenir du modèle: frais partagés, thèmes de menu tournants et un·e hôte-cuisinier·ère par session."
plant-based-cooking-club-s02,de-CH,Format festlegen,"Das Modell vereinbaren: geteilte Kosten, wechselnde Menüthemen und eine gastgebende Kochperson pro Treffen."
plant-based-cooking-club-s03,fr-CH,Planifier des menus de saison,Rédiger des menus saisonniers simples avec listes de courses dimensionnées au groupe.
plant-based-cooking-club-s03,de-CH,Saisonale Menüs planen,Einfache saisonale Menüs mit auf die Gruppe abgestimmten Einkaufslisten entwerfen.
plant-based-cooking-club-s04,fr-CH,Recruter les membres,Inviter un groupe varié en misant sur le plaisir de la table plutôt que sur le discours moralisateur.
plant-based-cooking-club-s04,de-CH,Mitglieder gewinnen,Eine gemischte Gruppe einladen und den Genuss statt den Zeigefinger in den Vordergrund stellen.
plant-based-cooking-club-s05,fr-CH,Animer les premières sessions,Cuisiner et manger ensemble en partageant techniques et fiches recettes.
plant-based-cooking-club-s05,de-CH,Erste Treffen durchführen,"Gemeinsam kochen und essen, Techniken austauschen und Rezeptkarten teilen."
plant-based-cooking-club-s06,fr-CH,Publier le recueil de recettes,Compiler les recettes testées dans un livret ou une page web pour élargir la portée.
plant-based-cooking-club-s06,de-CH,Rezeptsammlung veröffentlichen,"Erprobte Rezepte in einem Heft oder auf einer Webseite zusammenstellen, um mehr Menschen zu erreichen."
